att se,to see
att röra,to touch
att höra,to hear
att smaka,to taste
att lägga,to lay; put; place
att lära,to teach; instruct
att sticka,to stick; put
att spela,to play
att sjunga,to sing
att sitta,to sit
att stå,to stand
att känna,to know (someone)
att veta,to know (something)
att träffa,to meet
att besöka,to visit
att trycka,to push; press
att dra,to pull
att skrika,to scream; shriek
att gråta,to cry; weep
att dö,to die
att hitta,to find; locate
att flyga,to fly
att drömma,to dream
att undra,to wonder
att tänka,to think; ponder
att vinna,to win
att förlora	,to lose
att sälja,to sell
att vänta,to wait
att ha på sig,to wear (clothing)
att förlova sig,to get engaged
att lära känna,to get to know
att hata,to hate
att älska,to love
jag vill,I want (to)
du kan,you can
hon måste,she must
vi behöver,we need
de brukar,they usually
han bär,he carries
jag öppnar,I open
du stänger,you close
hon säger,she says
han frågar,he asks
de svarar,they answer
ni hjälper,you (pl.) help
det börjar,it starts
det slutar,it stops (ends)
vi tvättar,we wash
de lever,they live (are alive)
hon ser,she sees
jag rör,I touch
du hör,you hear
han smakar,he tastes
de lägger,they lay (put)
jag lär,I teach
ni sticker,you (pl.) stick
de spelar,they play
hon sjunger,she sings
han sitter,he sits
hon står,she stands
jag känner,I know (someone)
du vet,you know (something)
ni träffar,you (pl.) meet
vi besöker,we visit
jag trycker,I push
du drar,you pull
hon skriker,she screams
han gråter,he crys
de dör,they die
vi hittar,we find (locate)
det flyger,it flys
du drömmer,you dream
hon undrar,she wonders
han tänker,he thinks (ponders)
jag vinner,I win
du förlorar,you lose
de säljer,they sell
jag väntar,I wait
du har på dig,you wear (clothing)
vi förlovar oss,we get engaged
ni lär känna,you (pl.) get to know
han hatar,he hates
hon älskar,she loves
jag ville,I wanted (to)
du kunde,you were able (to)
hon måste,she had to
vi behövde,we needed
de brukade,they used to
han bar,he carried
jag öppnade,I opened
du stängde,you closed
hon sade,she said
han frågade,he asked
de svarade,they answered
ni hjälpte,you (pl.) helped
det började,it started
det slutade,it stopped (ended)
vi tvättade,we washed
de levde,they lived (were alive)
hon såg,she saw
jag rörde,I touched
du hörde,you heard
han smakade,he tasted
de lade,they laid (put)
jag lärde,I taught
ni stack,you (pl.) stuck
de spelade,they played
hon sjöng,she sang
han satt,he sat
hon stod,she stood
jag kände,I knew (someone)
du visste,you knew (something)
ni träffade,you (pl.) met
vi besökte,we visited
jag tryckte,I pushed
du drog,you pulled
hon skrek,she screamed
han grät,he cried
de dog,they died
vi hittade,we found (located)
det flög,it flew
du drömde,you dreamt
hon undrade,she wondered
han tänkte,he thought (pondered)
jag vann,I won
du förlorade,you lost
de sålde,they sold
jag väntade,I waited
du hade på dig,you wore (clothing)
vi förlovade oss,we got engaged
ni lärde känna,you (pl.) got to know
han hatade,he hated
hon älskade,she loved
jag hade velat,I had wanted (to)
du hade kunnat,you had been able (to)
hon hade måst,she had had to
vi hade behövt,we had needed
de hade brukat,they had been used to
han hade burit,he had carried
jag hade öppnat,I had opened
du hade stängt,you had closed
hon hade sagt,she had said
han hade frågat,he had asked
de hade svarat,they had answered
ni hade hjälpt,you (pl.) had helped
det hade börjat,it had started
det hade slutat,it had stopped (ended)
vi hade tvättat,we had washed
de hade levat,they had lived (been alive)
hon hade sett,she had seen
jag hade rört,I had touched
du hade hört,you had heard
han hade smakat,he had tasted
de hade lagt,they had laid (put)
jag hade lärt,I had taught
ni hade stuckit,you (pl.) had stuck
de hade spelat,they had played
hon hade sjungit,she had sung
han hade suttit,he had sat
hon hade stått,she had stood
jag hade känt,I had known (someone)
du hade vetat,you had known (something)
ni hade träffat,you (pl.) had met
vi hade besökt,we had visited
jag hade tryckt,I had pushed
du hade dragit,you had pulled
hon hade skrikit,she had screamed
han hade gråtit,he had cried
de hade dött,they had died
vi hade hittat,we had found (located)
det hade flugit,it had flown
du hade drömt,you had dreamt
hon hade undrat,she had wondered
han hade tänkt,he had thought (pondered)
jag hade vunnit,I had won
du hade förlorat,you had lost
de hade sålt,they had sold
jag hade väntat,I had waited
du hade haft på dig,you had worn (clothing)
vi hade förlovat oss,we had gotten engaged
ni hade lärt känna,you (pl.) had gotten to know
han hade hatat,he had hated
hon hade älskat,she had loved
jag kommer att ha velat,I will have wanted (to)
du kommer att ha kunnat,you will have been able (to)
hon kommer att ha måst,she will have had to
vi ska ha behövt,we are going to have needed
de kommer att ha brukat,they will have been used to
han ska ha burit,he is going to have carried
jag ska ha öppnat,I am going to have opened
du kommer att ha stängt,you will have closed
hon kommer att ha sagt,she will have said
han ska ha frågat,he is going to have asked
de kommer att ha svarat,they will have answered
ni kommer att ha hjälpt,you (pl.) will have helped
det kommer att ha börjat,it will have started
det ska ha slutat,it is going to have stopped (ended)
vi kommer att ha tvättat,we will have washed
de kommer att ha levat,they will have lived (been alive)
hon kommer att ha sett,she will have seen
jag kommer att ha rört,I will have touched
du ska ha hört,you are going to have heard
han kommer att ha smakat,he will have tasted
de kommer att ha lagt,they will have laid (put)
jag ska ha lärt,I am going to have taught
ni ska ha stuckit,you (pl.) are going to have stuck
de kommer att ha spelat,they will have played
hon kommer att ha sjungit,she will have sung
han skulle ha suttit,he would have sat
hon skulle ha stått,she would have stood
jag skulle ha känt,I would have known (someone)
du skulle ha vetat,you would have known (something)
ni skulle ha träffat,you (pl.) would have met
vi skulle ha besökt,we would have visited
jag skulle ha tryckt,I would have pushed
du skulle ha dragit,you would have pulled
hon skulle ha skrikit,she would have screamed
han skulle ha gråtit,he would have cried
de skulle ha dött,they would have died
vi skulle ha hittat,we would have found (located)
det skulle ha flugit,it would have flown
du skulle ha drömt,you would have dreamt
hon skulle ha undrat,she would have wondered
han skulle ha tänkt,he would have thought (pondered)
jag skulle ha vunnit,I would have won
du skulle ha förlorat,you would have lost
de skulle ha sålt,they would have sold
jag skulle ha väntat,I would have waited
du skulle ha haft på dig,you would have worn (clothing)
vi skulle ha förlovat oss,we would have gotten engaged
ni skulle ha lärt känna,you (pl.) would have gotten to know
han skulle ha hatat,he would have hated
hon skulle ha älskat,she would have loved
jag samlade,I collected
att se,to see
du ser,you see
han såg,he saw
att sitta,to sit
hon sitter,she sits
det satt,it sat
att sjuda,to simmer
det sjuder,it simmers
det sjöd,it simmered
att sjunga,to sing
vi sjunger,we sing
ni sjöng,you (pl) sang
att sjunka,to sink
de sjunker,they sink
jag sjönk,I sank
att ske,to happen
det sker,it happens
det skedde,it happened
att skina,to shine; to glisten
du skiner,you shine; you glisten
han sken,he shined; he glistened
att skjuta,to shoot
hon skjuter,she shoots
det sköt,it shot
att skola,shall; will; be going to
vi ska,we will
ni skulle,you (pl) were going to; you (pl) were about to
att skrida,to proceed
de skrider,they proceed
jag skred,I proceeded
att skrika,to shriek
du skriker,you shriek
han skrek,he shrieked
att skriva,to write
hon skriver,she writes
det skrev,it wrote
att skryta,to boast
vi skryter,we boast
ni skröt,you (pl) boasted
att skära,to cut; to carve
de skär,they cut; they carve
jag skar,I cut (past); I carved
att slippa,to escape
du slipper,you escape
han slapp,he escaped
att slita,to wear (out)
hon sliter,she wears (out)
det slet,it wore (out)
att sluta,to come to an end
det slutar,it comes to an end
det slutade,it came to an end
att sluta,to close (purposefully); to finish
jag sluter,I close (purposefully); I finish
du slöt,you closed (purposefully); you finished
att slå,to beat
han slår,he beats
hon slog,she beat
att slåss,to fight
vi slåss,we fight
ni slogs,you (pl) fought
att släcka,to put out
de släcker,they put out
jag släckte,I put out (past)
att smaka,to taste
du smakar,you taste
han smakade,he tasted
att smyga,to sneak
hon smyger,she sneaks
vi smög,we snuck
att snyta,to blow one&#39;s nose
ni snyter,you (pl) blow your noses
de snöt,they blew their noses
att sova,to sleep
jag sover,I sleep
du sov,you slept
att spela,to play (a game)
han spelar,he plays (a game)
hon spelade,she played (a game)
att spinna,to spin
det spinner,it spins
vi spann,we spun
att spricka,to crack
det spricker,it cracks
det sprack,it cracked
att sprida,to spread
ni sprider,you (pl) spread
de spridde,they spread (past)
att springa,to run
jag springer,I run
du sprang,you ran
att sticka,to stick
han sticker,he sticks
hon stack,she stuck
att stiga,to step
vi stiger,we step
ni steg,you (pl) stepped
att stjäla,to steal
de stjäl,they steal
jag stal,I stole
att strida,to fight; to be in conflict
du strider,you fight; you were in conflict
det stred,it fought; it was in conflict
att stryka,to stroke
han stryker,he strikes
hon strök,she struck
att sträcka,to stretch
vi sträcker,we stretch
ni sträckte,you (pl) stretched
att stå,to stand
de står,they stand
jag stod,I stood
att ställa,to put
du ställer,you put
han ställde,he put (past)
att stänga,to close
hon stänger,she closes
vi stängde,we closed
att stödja,to support
ni stöder,you (pl) support
de stödde,they supported
att störa,to disturb
jag stör,I disturb
du störde,you disturbed
att supa,to drink (alcohol)
han super,he drinks (alcohol)
hon söp,she drank (alcohol)
att svara,to answer
vi svarar,we answer
ni svarade,you (pl) answered
att svida,to ache
det svider,it aches
det sved,it ached
att svika,to fail
vi sviker,we fail
ni svek,you (pl) failed
att svälta,to starve
de svälter,they starve
jag svalt,I starved
att svälta,to starve (someone)
du svälter,you starve (someone)
han svälte,he starved (someone)
att svära,to swear
hon svär,she swears
vi svor,we swore
att sy,to sew
ni syr,you (pl) sew
de sydde,they sewed
att säga,to say
jag säger,I say
du sa,you said
att sälja,to sell
han säljer,he sells
hon sålde,she sold
att sätta,to set
vi sätter,we set
ni satte,you (pl) set (past)
att ta,to take
de tar,they take
jag tog,I took
att tala,to talk
du talar,you talk
han talade,he talked
att tiga,to stay silent
hon tiger,she stays silent
vi teg,we stayed silent
att titta,to look
ni tittar,you (pl) look
de tittade,they looked
att tjuta,to howl
jag tjuter,I howel
du tjöt,you howled
att tro,to believe
han tror,he believes
hon trodde,she believed
att trycka,to print
vi trycker,we print
ni tryckte,you (pl) printed
att träffa,to meet
de träffar,they meet
jag träffade,I met
att tvätta,to wash
du tvättar,you wash
han tvättade,he washed
att tycka,to think; opine
hon tycker,she thinks; opines
vi tyckte,we thought; opined
att tänka,to think (act)
ni tänker,you (pl) think (act)
de tänkte,they thought (act)
att töras,to dare
jag törs,I dare
du tordes,you dared
att undra,to wonder
han undrar,he wonders
hon undrade,she wondered
att vara,to be
det är,it is
vi var,we were
att veta,to know (something)
ni vet,you (pl) know (something)
de visste,they knew (something)
att vika,to fold
jag viker,I fold
du vek,you folded
att vilja,to want (to)
han vill,he wants (to)
hon ville,she wanted (to)
att vina,to buzz
det viner,it buzzes
det ven,it buzzed
att vinna,to win
vi vinner,we win
ni vann,you (pl) won
att visa,to show
de visar,they show
jag visade,I showed
att vrida,to twist
du vrider,you twist
han vred,he twisted
att välja,to choose; to elect
hon väljer,she chooses; she elects
vi valde,we chose; we elected
att vända,to turn
de vänder,they turn
jag vände,I turned
att vänja,to get used to
du vänjer,you get used to
han vande,he got used to
att vänta,to wait
